searchQuery,labels(json),stage
pfm크라운 보철 제거 치아 손상,"[{""matched_expression"": ""pfm"", ""label"": ""재료:PFM/PFZ""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""손상"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""제거"", ""label"": ""진료:발치""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
앞니 PFM 크라운,"[{""matched_expression"": ""pfm"", ""label"": ""재료:PFM/PFZ""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
동탄 심미 보철,"[{""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}, {""matched_expression"": ""심미"", ""label"": ""진료:심미치료""}]",3단계:지역탐색
동탄역 앞니 크라운,"[{""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",3단계:지역탐색
치아색 크라운,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}]",2단계:정보탐색
앞니 지르코니아 색상,"[{""matched_expression"": ""지르코니아"", ""label"": ""재료:지르코니아""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""색상"", ""label"": ""형태/색상:색상""}]",2단계:정보탐색
오래된 지르코니아,"[{""matched_expression"": ""지르코니아"", ""label"": ""재료:지르코니아""}, {""matched_expression"": ""오래된"", ""label"": ""시간:오래된""}]",2단계:정보탐색
동탄지르코니아,"[{""matched_expression"": ""지르코니아"", ""label"": ""재료:지르코니아""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄역 치과 앞니 크라운,"[{""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",3단계:지역탐색
pfm 크라운 앞니,"[{""matched_expression"": ""pfm"", ""label"": ""재료:PFM/PFZ""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
pfm 재 제작,"[{""matched_expression"": ""pfm"", ""label"": ""재료:PFM/PFZ""}, {""matched_expression"": ""제작"", ""label"": ""제작:제작""}]",2단계:정보탐색
동탄 크라운 교체 기간,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""기간"", ""label"": ""의도:과정문의""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""교체"", ""label"": ""진료:교체""}]",3단계:지역탐색
동탄 심미보철 왜소치,"[{""matched_expression"": ""왜소치"", ""label"": ""질병:왜소치""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}, {""matched_expression"": ""심미"", ""label"": ""진료:심미치료""}]",3단계:지역탐색
오래된 크라운 제거 후,"[{""matched_expression"": ""오래된"", ""label"": ""시간:오래된""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""제거"", ""label"": ""진료:발치""}]",2단계:정보탐색
동탄 pfm,"[{""matched_expression"": ""pfm"", ""label"": ""재료:PFM/PFZ""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
오래된 크라운 이물감,"[{""matched_expression"": ""오래된"", ""label"": ""시간:오래된""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}]",2단계:정보탐색
오래된 크리운 제거,"[{""matched_expression"": ""오래된"", ""label"": ""시간:오래된""}, {""matched_expression"": ""크리운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""제거"", ""label"": ""진료:발치""}]",2단계:정보탐색
PFM 제작 과정,"[{""matched_expression"": ""pfm"", ""label"": ""재료:PFM/PFZ""}, {""matched_expression"": ""과정"", ""label"": ""의도:과정문의""}, {""matched_expression"": ""제작"", ""label"": ""제작:제작""}]",2단계:정보탐색
지르코니아 크라운 동탄 치과,"[{""matched_expression"": ""지르코니아"", ""label"": ""재료:지르코니아""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
앞니크라운들뜸,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""들뜸"", ""label"": ""증상:탈락""}]",2단계:정보탐색
오래된 앞니 크라운,"[{""matched_expression"": ""오래된"", ""label"": ""시간:오래된""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
지르코니아 크라운 들뜸,"[{""matched_expression"": ""지르코니아"", ""label"": ""재료:지르코니아""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""들뜸"", ""label"": ""증상:탈락""}]",2단계:정보탐색
앞니 오래된보철,"[{""matched_expression"": ""오래된"", ""label"": ""시간:오래된""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
심미적 크라운,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""심미"", ""label"": ""진료:심미치료""}]",2단계:정보탐색
17번 인레이가 떨어졌어요,"[{""matched_expression"": ""떨어졌어요"", ""label"": ""증상:탈락""}, {""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""17번"", ""label"": ""치아:17번""}]",2단계:정보탐색
골드인레이 재수복,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""수복"", ""label"": ""진료:수복""}]",2단계:정보탐색
동탄 보철전문의,"[{""matched_expression"": ""전문의"", ""label"": ""진료과:전문의""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",3단계:지역탐색
인레이 온레이 가격,"[{""matched_expression"": ""온레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""가격"", ""label"": ""의도:비용문의""}]",2단계:정보탐색
16번 치아 인레이 충치,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""16번"", ""label"": ""치아:16번""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
인레이 골드,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
골드인레이 떨어짐 충치,"[{""matched_expression"": ""떨어짐"", ""label"": ""증상:탈락""}, {""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
골드인레이 수리시 충치발견,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""발견"", ""label"": ""진료목표:진단""}]",2단계:정보탐색
인레이 충치,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
인접면 이시림,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""시림"", ""label"": ""증상:통증""}]",2단계:정보탐색
보철 탈락,"[{""matched_expression"": ""탈락"", ""label"": ""증상:탈락""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
골드인레이 떨,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
골드인레이 이시림,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""시림"", ""label"": ""증상:통증""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄 보철 전문의,"[{""matched_expression"": ""전문의"", ""label"": ""진료과:전문의""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",3단계:지역탐색
인레이 탈락 신경,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""탈락"", ""label"": ""증상:탈락""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}]",2단계:정보탐색
17번치아 재수복,"[{""matched_expression"": ""17번"", ""label"": ""치아:17번""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""수복"", ""label"": ""진료:수복""}]",2단계:정보탐색
골드인레이 재수복과정,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""과정"", ""label"": ""의도:과정문의""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""수복"", ""label"": ""진료:수복""}]",2단계:정보탐색
인레이탈락후 시간,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""시간"", ""label"": ""시간:기간""}, {""matched_expression"": ""탈락"", ""label"": ""증상:탈락""}]",2단계:정보탐색
인레이 떨어진곳 시림,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""떨어"", ""label"": ""증상:탈락""}, {""matched_expression"": ""시림"", ""label"": ""증상:통증""}]",2단계:정보탐색
인레이 제거 후 재수복,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""제거"", ""label"": ""진료:발치""}, {""matched_expression"": ""수복"", ""label"": ""진료:수복""}]",2단계:정보탐색
인접면 골드인레이 이시림,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""시림"", ""label"": ""증상:통증""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
인레이 보철 탈락,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""탈락"", ""label"": ""증상:탈락""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
인레이 떨어져 시림,"[{""matched_expression"": ""떨어져"", ""label"": ""증상:탈락""}, {""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""시림"", ""label"": ""증상:통증""}]",2단계:정보탐색
인레이 이시림 통증 몇년,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""몇년"", ""label"": ""시간:기간""}, {""matched_expression"": ""시림"", ""label"": ""증상:통증""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}]",2단계:정보탐색
충치 15번 16번 골드인레이,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""15번"", ""label"": ""치아:15번""}, {""matched_expression"": ""16번"", ""label"": ""치아:16번""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
오산 벌어진 앞니 레진,"[{""matched_expression"": ""벌어진"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
앞니 검은점,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""검은"", ""label"": ""증상:변색""}]",2단계:정보탐색
오산벌어진 앞니,"[{""matched_expression"": ""벌어진"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}]",3단계:지역탐색
오산시 앞니 벌어짐 레진,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
오산앞니벌어짐,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}]",3단계:지역탐색
오산 치과 레진,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
앞니 벌어짐 레진 오산,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
오산 앞니,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}]",3단계:지역탐색
보철 뒤 이.욱신욱신,"[{""matched_expression"": ""욱신"", ""label"": ""증상:통증""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
앞니보철,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
보철한곳 염증,"[{""matched_expression"": ""한곳"", ""label"": ""위치:부위""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
앞니발치즉시임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""즉시"", ""label"": ""시간:긴급/당일""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",2단계:정보탐색
앞니 발치 즉시 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""즉시"", ""label"": ""시간:긴급/당일""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",2단계:정보탐색
저릿한 앞니,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
앞니 임플란트 보철이봉이지 암ㅎ나요,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
치아 보철 염증,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
즉시식립 과정,"[{""matched_expression"": ""즉시"", ""label"": ""시간:긴급/당일""}, {""matched_expression"": ""과정"", ""label"": ""의도:과정문의""}, {""matched_expression"": ""식립"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
염증 앞니 발치 즉시 식립,"[{""matched_expression"": ""즉시"", ""label"": ""시간:긴급/당일""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}, {""matched_expression"": ""식립"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
앞니 보철 느낌,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""느낌"", ""label"": ""증상:주관적느낌""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
앞니가 너무 내려와 치아 갈아내기,"[{""matched_expression"": ""앞니가"", ""label"": ""위치:앞니""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}]",2단계:정보탐색
앞니 임플란트 보철 크라운,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
앞니보철 치아,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
크라운 욱신욱신,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""욱신"", ""label"": ""증상:통증""}]",2단계:정보탐색
앞니 임플란트 입천장 통증,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""입천장"", ""label"": ""위치:입천장""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}]",2단계:정보탐색
앞니 보철염증,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
앞니 보철염증 즉시식립,"[{""matched_expression"": ""즉시"", ""label"": ""시간:긴급/당일""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}, {""matched_expression"": ""식립"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
동탄 내이튼치과 어떤가요,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""가요"", ""label"": ""의도:탐색""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",4단계:병원인지
보철 치아 잇몸 염증,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
앞니 발치후보철,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
앞니임프란트보철후 염증원인,"[{""matched_expression"": ""임프란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""원인"", ""label"": ""증상:원인""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
보철염증발치,"[{""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}]",2단계:정보탐색
치아 염증,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
염증생긴치아발치,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""생긴"", ""label"": ""외모:얼굴""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",2단계:정보탐색
동탄역 임플란트 앞니,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",3단계:지역탐색
보철내부 발치,"[{""matched_expression"": ""발치"", ""label"": ""진료:발치""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}, {""matched_expression"": ""내부"", ""label"": ""공간:내부""}]",2단계:정보탐색
앞니 염증 임플란트 즉시 식립 못할 때,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""즉시"", ""label"": ""시간:긴급/당일""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""식립"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
크라운 치아 욱신욱신 거려요,"[{""matched_expression"": ""거려요"", ""label"": ""증상:거칠거림""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""욱신"", ""label"": ""증상:통증""}]",2단계:정보탐색
동탄역 앞니 벌어짐,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",3단계:지역탐색
동탄 앞니 레진 질하는곳,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
동탄앞니 벌어짐 레진,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
치과의사 윤민정,"[{""matched_expression"": ""윤민정"", ""label"": ""병원명:윤민정원장""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""의사"", ""label"": ""직군:의사""}]",4단계:병원인지
동탄 능동 치과 이벌어짐 레진,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
동탄 앞니틈새벌어진이빨,"[{""matched_expression"": ""벌어진"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""이빨"", ""label"": ""구강:치아""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""틈새"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 레진치료 치과,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",3단계:지역탐색
앞니 가운데 벌어짐 이물질,"[{""matched_expression"": ""가운데"", ""label"": ""위치:부위""}, {""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""이물질"", ""label"": ""증상:이물질""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
동탄2 앞니 레진,"[{""matched_expression"": ""동탄2"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
동탄치과 앞니레진,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
레진 당일 치료,"[{""matched_expression"": ""당일"", ""label"": ""시간:당일""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",2단계:정보탐색
앞이가 벌어 젔어요,"[{""matched_expression"": ""이가"", ""label"": ""구강:치아""}]",2단계:정보탐색
앞니 레진 몇년사용하나요,"[{""matched_expression"": ""하나요"", ""label"": ""의도:가능성문의""}, {""matched_expression"": ""몇년"", ""label"": ""시간:기간""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""사용"", ""label"": ""행동:사용""}]",2단계:정보탐색
치아사이공간레진치료동탄,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""사이"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""공간"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",3단계:지역탐색
동탄 틈새 레진,"[{""matched_expression"": ""틈새"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
동탄 치주염 전문 치과,"[{""matched_expression"": ""치주염"", ""label"": ""질병:치주염""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""전문"", ""label"": ""진료과:전문의""}]",3단계:지역탐색
잇몸 수복,"[{""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""수복"", ""label"": ""진료:수복""}]",2단계:정보탐색
2동탄잇몸치료,"[{""matched_expression"": ""잇몸치료"", ""label"": ""진료:잇몸치료""}, {""matched_expression"": ""2동탄"", ""label"": ""지역:동탄2""}]",3단계:지역탐색
자연치,"[{""matched_expression"": ""자연치"", ""label"": ""치아:자연치""}]",2단계:정보탐색
동탄2 치주보존전문의,"[{""matched_expression"": ""동탄2"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""전문의"", ""label"": ""진료과:전문의""}, {""matched_expression"": ""보존"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치주"", ""label"": ""구강/치주:치주""}]",3단계:지역탐색
치과 파노라마 잇몸상태,"[{""matched_expression"": ""파노라마"", ""label"": ""진단장비:엑스레이""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
잇몸수복,"[{""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""수복"", ""label"": ""진료:수복""}]",2단계:정보탐색
전악 수복,"[{""matched_expression"": ""수복"", ""label"": ""진료:수복""}, {""matched_expression"": ""전악"", ""label"": ""분류:전체""}]",2단계:정보탐색
